# m=0, S=4
16.376 -0.619433
16.4313 -0.661858
16.4865 -0.702262
16.5418 -0.74052
16.5971 -0.776517
16.6524 -0.810141
16.7076 -0.841292
16.7629 -0.869872
16.8182 -0.895795
16.8735 -0.918982
16.9287 -0.939362
16.984 -0.956873
17.0393 -0.971461
17.0946 -0.983082
17.1498 -0.9917
17.2051 -0.997289
17.2604 -0.999831
17.3157 -0.99932
17.3709 -0.995756
17.4262 -0.98915
17.4815 -0.979524
17.5367 -0.966905
17.592 -0.951333
17.6473 -0.932855
17.7026 -0.911528
17.7578 -0.887417
17.8131 -0.860595
17.8684 -0.831144
17.9237 -0.799155
17.9789 -0.764725
18.0342 -0.727959
18.0895 -0.688969
18.1448 -0.647875
18.2 -0.604802
18.2553 -0.559882
18.3106 -0.513252
18.3659 -0.465054
18.4211 -0.415436
18.4764 -0.364548
18.5317 -0.312548
18.587 -0.259592
18.6422 -0.205844
18.6975 -0.151467
18.7528 -0.0966273
18.8081 -0.0414925
18.8633 0.0137689
18.9186 0.0689883
18.9739 0.123997
19.0291 0.178627
19.0844 0.232711
19.1397 0.286084
19.195 0.338584
19.2502 0.390049
19.3055 0.440324
19.3608 0.489253
19.4161 0.536687
19.4713 0.582483
19.5266 0.626499
19.5819 0.668602
19.6372 0.708662
19.6924 0.746558
19.7477 0.782174
19.803 0.8154
19.8582 0.846137
19.9135 0.874288
19.9688 0.899769
20.0241 0.922502
20.0793 0.942418
20.1346 0.959455
20.1899 0.973561
20.2452 0.984694
20.3004 0.992819
20.3557 0.997911
20.411 0.999956
20.4663 0.998947
20.5215 0.994886
20.5768 0.987787
20.6321 0.97767
20.6873 0.964568
20.7426 0.948519
20.7979 0.929573
20.8532 0.907788
20.9084 0.883231
20.9637 0.855976
21.019 0.826106
21.0743 0.793713
21.1295 0.758896
21.1848 0.721761
21.2401 0.682421
21.2954 0.640998
21.3506 0.597616
21.4059 0.552409
21.4612 0.505515
21.5164 0.457077
21.5717 0.407243
21.627 0.356165
21.6823 0.303999
21.7375 0.250905
21.7928 0.197045
21.8481 0.142582
21.9034 0.0876847
21.9586 0.0325191
22.0139 -0.0227458
22.0692 -0.0779411
22.1244 -0.132898
22.1797 -0.18745
22.235 -0.241429
22.2903 -0.29467
22.3455 -0.347012
22.4008 -0.398293
22.4561 -0.448358
22.5113 -0.497054
22.5666 -0.544231
22.6219 -0.589746
22.6772 -0.63346
22.7324 -0.675239
22.7877 -0.714956
22.843 -0.752489
22.8983 -0.787724
22.9535 -0.820553
23.0088 -0.850876
23.0641 -0.8786
23.1193 -0.90364
23.1746 -0.925921
23.2299 -0.945374
23.2852 -0.961939
23.3404 -0.975566
23.3957 -0.986214
23.451 -0.993849
23.5062 -0.998449
23.5615 -1
23.6168 -0.998496
23.6721 -0.993943
23.7273 -0.986354
23.7826 -0.975753
23.8379 -0.962171
23.8932 -0.945651
23.9484 -0.926242
24.0037 -0.904005
24.059 -0.879007
24.1142 -0.851324
24.1695 -0.821041
24.2248 -0.78825
24.2801 -0.753052
24.3353 -0.715554
24.3906 -0.67587
24.4459 -0.634122
24.5011 -0.590438
24.5564 -0.54495
24.6117 -0.497798
24.667 -0.449126
24.7222 -0.399082
24.7775 -0.347819
24.8328 -0.295494
24.888 -0.242266
24.9433 -0.188298
24.9986 -0.133756
25.0539 -0.0788046
25.1091 -0.0236129
25.1327 -9.79717e-16
